REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected2,Families_displaced,Individuals_displaced,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#affected+displaced+families,#affected+dispalced+num,#damaged+houses+num,#destroyed+houses+num
Western,29,Badghis,2901,Qala-e-Naw,19/04/18,Drought,0,0,3,21,3,21,0,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,19/04/18,Flood / flash flood,0,0,4,28,,,4,0
Western,21,Ghor,2101,Chaghcharan,19/04/18,Drought,0,0,41,287,41,287,0,0
Eastern,13,Kunar,1304,Sarkani,19/04/18,Flood / flash flood,0,0,1,7,,,0,1
Eastern,13,Kunar,1314,Nurgal,19/04/18,Flood / flash flood,0,1,8,56,,,3,5
Western,29,Badghis,2901,Qala-e-Naw,19/04/18,Drought,0,0,15,74,15,74,0,0
Eastern,7,Laghman,704,Alingar,20/04/18,Flood / flash flood,0,0,8,45,0,,8,0
Eastern,7,Laghman,701,Mehtarlam,20/04/18,Flood / flash flood,0,0,12,79,0,,5,7
Eastern,7,Laghman,702,Alishang,20/04/18,Flood / flash flood,0,0,3,17,0,,3,0
Eastern,7,Laghman,704,Alingar,20/04/18,Flood / flash flood,0,0,18,89,0,,18,0
Eastern,7,Laghman,703,Qarghayi,20/04/18,Flood / flash flood,0,0,3,22,0,,3,0
Eastern,7,Laghman,701,Mehtarlam,20/04/18,Flood / flash flood,0,0,11,86,0,,3,8
Western,30,Hirat,3002,Injil,20/04/18,Drought,0,0,15,105,15,105,0,0
Western,30,Hirat,3002,Injil,20/04/18,Drought,0,0,2,14,2,14,0,0
Western,30,Hirat,3002,Injil,20/04/18,Drought,0,0,268,1876,268,1876,0,0
Western,30,Hirat,3002,Injil,20/04/18,Drought,0,0,2,14,2,14,0,0
Western,30,Hirat,3002,Injil,20/04/18,Drought,0,0,173,1211,173,1211,0,0
Eastern,6,Nangarhar,622,Durbaba,21/04/18,Flood / flash flood,0,0,4,30,0,,4,0
Eastern,6,Nangarhar,622,Durbaba,21/04/18,Flood / flash flood,0,0,5,37,0,,5,0
Eastern,6,Nangarhar,622,Durbaba,21/04/18,Flood / flash flood,0,0,2,12,0,,2,0
Eastern,6,Nangarhar,622,Durbaba,21/04/18,Flood / flash flood,0,0,5,39,0,,5,0
North Eastern,16,Takhar,1610,Chahab,25/04/18,Flood / flash flood,3,0,187,1309,17,119,69,17
Western,30,Hirat,3002,Injil,25/04/18,Drought,0,0,5,35,5,35,0,0
Western,30,Hirat,3002,Injil,25/04/18,Drought,0,0,35,245,35,245,0,0
Western,30,Hirat,3002,Injil,25/04/18,Drought,0,0,100,700,100,700,0,0
Western,30,Hirat,3002,Injil,25/04/18,Drought,0,0,42,294,42,294,0,0
Western,30,Hirat,3002,Injil,25/04/18,Drought,0,0,4,28,4,28,0,0
Western,30,Hirat,3002,Injil,25/04/18,Drought,0,0,23,161,23,161,0,0
Western,30,Hirat,3002,Injil,25/04/18,Drought,0,0,6,42,6,42,0,0
Western,30,Hirat,3002,Injil,25/04/18,Drought,0,0,7,49,7,49,0,0
Western,30,Hirat,3002,Injil,25/04/18,Drought,0,0,45,315,45,315,0,0
Western,30,Hirat,3002,Injil,25/04/18,Drought,0,0,27,189,27,189,0,0
Western,30,Hirat,3002,Injil,25/04/18,Drought,0,0,11,77,11,77,0,0
Western,30,Hirat,3002,Injil,25/04/18,Drought,0,0,20,140,20,140,0,0
Western,30,Hirat,3002,Injil,25/04/18,Drought,0,0,261,1827,261,1827,0,0
North Eastern,15,Badakhshan,1501,Fayzabad,25/04/18,Flood / flash flood,2,0,68,476,68,476,0,68
Western,30,Hirat,3002,Injil,25/04/18,Drought,0,0,630,4410,630,4410,0,0
Western,30,Hirat,3002,Injil,25/04/18,Drought,0,0,54,378,54,378,0,0
Western,30,Hirat,3002,Injil,25/04/18,Drought,0,0,450,3150,450,3150,0,0
Western,21,Ghor,2101,Chaghcharan,28/04/18,Drought,0,0,32,192,32,192,0,0
Eastern,13,Kunar,1301,Asadabad,29/04/18,Flood / flash flood,0,0,2,17,,,2,0
Western,29,Badghis,2901,Qala-e-Naw,01/05/18,Drought,0,0,43,266,43,266,0,0
Western,21,Ghor,2101,Chaghcharan,05/05/18,Drought,0,0,26,175,26,0,0,0
Central Highland,10,Bamyan,1001,Bamyan,06/05/18,Flood / flash flood,0,0,4,28,0,0,4,0
Eastern,14,Nuristan,1405,Wama,08/05/18,Flood / flash flood,0,0,7,49,,,7,0
Eastern,14,Nuristan,1401,Poruns,08/05/18,Flood / flash flood,0,0,15,105,,,7,8
